,big_age,high_educ,has_job,default,housing,loan,cell_cont,before_con,influence_ccon,long_dur,poutcome,y
0,False,True,True,False,True,True,True,True,True,True,False,False
1,True,False,False,False,True,True,False,False,False,True,False,True
2,False,True,True,False,False,True,True,False,True,False,False,False
3,True,True,False,False,True,True,False,False,True,True,False,False
4,False,True,True,False,True,True,False,False,True,True,False,False
5,False,False,False,False,True,True,True,False,False,True,False,True
6,False,False,True,False,False,True,False,False,True,False,False,False
7,False,False,True,False,False,True,False,False,True,True,False,False
8,True,False,True,False,False,True,False,False,True,False,False,False
9,False,True,True,False,False,True,True,False,True,False,False,False
10,False,True,True,False,False,True,False,False,False,False,False,False
11,True,True,True,False,True,False,True,False,False,True,False,False
12,True,False,True,False,True,True,False,False,False,True,False,False
13,True,False,True,False,False,True,False,False,False,True,False,True
14,False,True,True,False,False,True,False,False,False,False,False,False
15,True,False,True,False,False,True,True,False,True,False,False,False
16,False,True,True,False,True,False,False,True,True,True,True,True
17,True,False,True,False,True,True,False,False,False,False,False,False
18,True,False,True,False,True,True,True,False,False,False,False,False
19,True,True,False,False,True,True,False,True,True,True,True,True
20,False,False,True,False,False,True,False,True,False,False,False,False
21,True,False,True,False,True,True,False,False,True,True,False,False
22,True,False,True,False,False,False,False,False,False,True,False,False
23,False,True,True,False,False,True,False,False,False,False,False,False
24,False,False,True,False,True,True,True,False,True,True,False,False
25,True,False,False,False,True,True,False,False,False,False,False,False
26,True,True,True,False,False,True,False,True,True,True,False,False
27,True,True,True,False,False,False,False,True,False,False,False,False
28,False,True,True,False,True,True,False,False,True,True,False,False
29,False,True,True,False,True,True,False,False,False,True,False,False
30,False,True,True,False,True,True,True,False,True,True,False,False
31,False,False,True,False,False,True,False,True,False,False,False,False
32,False,False,True,False,True,True,False,False,True,True,False,False
33,True,False,True,False,True,True,False,False,False,False,False,False
34,False,True,True,False,True,True,True,False,True,True,False,False
35,True,True,True,False,True,True,False,True,True,True,False,True
36,False,True,True,False,True,True,True,False,False,False,False,False
37,True,False,True,False,True,False,False,False,True,False,False,False
38,False,True,True,False,False,True,False,False,False,True,False,True
39,True,False,True,False,False,False,False,True,False,False,False,False
40,True,False,True,False,True,True,False,False,True,True,False,False
41,False,False,True,False,False,True,True,False,True,False,False,False
42,True,True,True,False,False,True,True,False,False,True,False,False
43,True,False,False,False,False,False,True,False,True,False,False,False
44,False,False,True,False,True,True,False,True,False,True,False,False
45,False,True,True,False,False,False,False,True,False,True,False,False
46,False,True,True,False,True,True,True,False,True,False,False,False
47,False,False,True,False,False,True,False,False,True,False,False,False
48,True,False,True,False,False,True,False,False,True,True,False,True
